Codigo_Entidad,Entidad,poblacion_total
15476,Motavita,6084
15480,Muzo,9393
15491,Nobsa,18954
15494,Nuevo Colón,5758
15500,Oicatá,3239
15507,Otanche,9151
15511,Pachavita,2550
15514,Páez,3706
15516,Paipa,41078
15518,Pajarito,2533
15522,Panqueba,1913
15531,Pauna,8024
15533,Paya,3027
15537,Paz de Río,4799
15542,Pesca,7714
15550,Pisba,2103
15572,Puerto Boyacá,53538
15580,Quípama,5470
15599,Ramiriquí,11254
15600,Ráquira,8911
15621,Rondón,2704
15632,Saboyá,15971
15638,Sáchica,6874
15646,Samacá,21708
15660,San Eduardo,1846
15664,San José de Pare,5350
15667,San Luis de Gaceno,5968
15673,San Mateo,3736
15676,San Miguel de Sema,3373
15681,San Pablo de Borbur,7458
15686,Santana,8601
15690,Santa María,3973
15693,Santa Rosa de Viterbo,14794
15696,Santa Sofía,3632
15720,Sativanorte,2309
15723,Sativasur,1165
15740,Siachoque,7719
15753,Soatá,10217
15755,Socotá,8279
15757,Socha,9305
15759,Sogamoso,151045
15761,Somondoco,3188
15762,Sora,3510
15763,Sotaquirá,9083
15764,Soracá,6895
15774,Susacón,3015
15776,Sutamarchán,6955
15778,Sutatenza,4661
15790,Tasco,6660
15798,Tenza,4053
15804,Tibaná,10008
15806,Tibasosa,15063
15808,Tinjacá,3847
15810,Tipacoque,3594
15814,Toca,10024
15816,Togüí,4858
15820,Tópaga,4196
15822,Tota,5756
15832,Tununguá,1721
15835,Turmequé,6456
15837,Tuta,9282
15839,Tutazá,2255
15842,Umbita,8416
15861,Ventaquemada,18788
15879,Viracachá,3147
15897,Zetaquira,5207
17000,Caldas,1160541
17001,Manizales,512509
17013,Aguadas,25483
17042,Anserma,41537
17050,Aranzazu,12030
17088,Belalcázar,11885
17174,Chinchiná,57490
17272,Filadelfia,12550
17380,La Dorada,80883
17388,La Merced,6562
17433,Manzanares,20367
17442,Marmato,10673
17444,Marquetalia,15058
17446,Marulanda,2964
17486,Neira,24024
17495,Norcasia,6932
17513,Pácora,17285
17524,Palestina,18052
17541,Pensilvania,22680
17614,Riosucio,58712
17616,Risaralda,12354
17653,Salamina,21581
17662,Samaná,23524
17665,San José,5586
17777,Supía,34667
17867,Victoria,12048
17873,Villamaría,78772
17877,Viterbo,14333
18000,Caquetá,479581
18001,Florencia,206021
18029,Albania,5497
18094,Belén de Los Andaquíes,13056
18150,Cartagena del Chairá,36407
18205,Curillo,8792
18247,El Doncello,22373
18256,El Paujil,21259
18410,La Montañita,17350
18460,Milán,11457
18479,Morelia,4318
18592,Puerto Rico,31020
18610,San José del Fragua,15113
18753,San Vicente del Caguán,59225
18756,Solano,12378
18785,Solita,7250
